Date,Vehicle type,Number of spaces
15/12/2021,Recycling centre A (cars / small vans),320
15/12/2021,Recycling centre A (medium / large vans),17
15/12/2021,Recycling centre A (pedestrian / bicycle),15
16/12/2021,Recycling centre A (cars / small vans),320
16/12/2021,Recycling centre A (medium / large vans),17
16/12/2021,Recycling centre A (pedestrian / bicycle),15
17/12/2021,Recycling centre A (cars / small vans),320
17/12/2021,Recycling centre A (medium / large vans),17
17/12/2021,Recycling centre A (pedestrian / bicycle),15
18/12/2021,Recycling centre A (cars / small vans),320
18/12/2021,Recycling centre A (medium / large vans),17
18/12/2021,Recycling centre A (pedestrian / bicycle),15
21/12/2021,Recycling centre A (cars / small vans),320
21/12/2021,Recycling centre A (medium / large vans),17
21/12/2021,Recycling centre A (pedestrian / bicycle),15
22/12/2021,Recycling centre A (cars / small vans),320
22/12/2021,Recycling centre A (medium / large vans),17
22/12/2021,Recycling centre A (pedestrian / bicycle),15
23/12/2021,Recycling centre A (cars / small vans),320
23/12/2021,Recycling centre A (medium / large vans),17
23/12/2021,Recycling centre A (pedestrian / bicycle),15
24/12/2021,Recycling centre A (cars / small vans),320
24/12/2021,Recycling centre A (medium / large vans),17
24/12/2021,Recycling centre A (pedestrian / bicycle),15
28/12/2021,Recycling centre A (cars / small vans),320
28/12/2021,Recycling centre A (medium / large vans),17
28/12/2021,Recycling centre A (pedestrian / bicycle),15
29/12/2021,Recycling centre A (cars / small vans),320
29/12/2021,Recycling centre A (medium / large vans),17
29/12/2021,Recycling centre A (pedestrian / bicycle),15
30/12/2021,Recycling centre A (cars / small vans),320
30/12/2021,Recycling centre A (medium / large vans),17
30/12/2021,Recycling centre A (pedestrian / bicycle),15
31/12/2021,Recycling centre A (cars / small vans),320
31/12/2021,Recycling centre A (medium / large vans),17
31/12/2021,Recycling centre A (pedestrian / bicycle),15
04/01/2022,Recycling centre A (cars / small vans),350
04/01/2022,Recycling centre A (medium / large vans),20
04/01/2022,Recycling centre A (pedestrian / bicycle),10
05/01/2022,Recycling centre A (cars / small vans),350
05/01/2022,Recycling centre A (medium / large vans),20
05/01/2022,Recycling centre A (pedestrian / bicycle),10
06/01/2022,Recycling centre A (cars / small vans),350
06/01/2022,Recycling centre A (medium / large vans),20
06/01/2022,Recycling centre A (pedestrian / bicycle),10
07/01/2022,Recycling centre A (cars / small vans),350
07/01/2022,Recycling centre A (medium / large vans),20
07/01/2022,Recycling centre A (pedestrian / bicycle),10
08/01/2022,Recycling centre A (cars / small vans),350
08/01/2022,Recycling centre A (medium / large vans),20
08/01/2022,Recycling centre A (pedestrian / bicycle),10
11/01/2022,Recycling centre A (cars / small vans),350
11/01/2022,Recycling centre A (medium / large vans),20
11/01/2022,Recycling centre A (pedestrian / bicycle),10
12/01/2022,Recycling centre A (cars / small vans),350
12/01/2022,Recycling centre A (medium / large vans),20
12/01/2022,Recycling centre A (pedestrian / bicycle),10
13/01/2022,Recycling centre A (cars / small vans),350
13/01/2022,Recycling centre A (medium / large vans),20
13/01/2022,Recycling centre A (pedestrian / bicycle),10
14/01/2022,Recycling centre A (cars / small vans),350
14/01/2022,Recycling centre A (medium / large vans),20
14/01/2022,Recycling centre A (pedestrian / bicycle),10
15/01/2022,Recycling centre A (cars / small vans),350
15/01/2022,Recycling centre A (medium / large vans),20
15/01/2022,Recycling centre A (pedestrian / bicycle),10
18/01/2022,Recycling centre A (cars / small vans),350
18/01/2022,Recycling centre A (medium / large vans),20
18/01/2022,Recycling centre A (pedestrian / bicycle),10
19/01/2022,Recycling centre A (cars / small vans),350
19/01/2022,Recycling centre A (medium / large vans),20
19/01/2022,Recycling centre A (pedestrian / bicycle),10
20/01/2022,Recycling centre A (cars / small vans),350
20/01/2022,Recycling centre A (medium / large vans),20
20/01/2022,Recycling centre A (pedestrian / bicycle),10
21/01/2022,Recycling centre A (cars / small vans),350
21/01/2022,Recycling centre A (medium / large vans),20
21/01/2022,Recycling centre A (pedestrian / bicycle),10
22/01/2022,Recycling centre A (cars / small vans),350
22/01/2022,Recycling centre A (medium / large vans),20
22/01/2022,Recycling centre A (pedestrian / bicycle),10
25/01/2022,Recycling centre A (cars / small vans),350
25/01/2022,Recycling centre A (medium / large vans),20
25/01/2022,Recycling centre A (pedestrian / bicycle),10
26/01/2022,Recycling centre A (cars / small vans),350
26/01/2022,Recycling centre A (medium / large vans),20
26/01/2022,Recycling centre A (pedestrian / bicycle),10
27/01/2022,Recycling centre A (cars / small vans),350
27/01/2022,Recycling centre A (medium / large vans),20
27/01/2022,Recycling centre A (pedestrian / bicycle),10
28/01/2022,Recycling centre A (cars / small vans),350
28/01/2022,Recycling centre A (medium / large vans),20
28/01/2022,Recycling centre A (pedestrian / bicycle),10
29/01/2022,Recycling centre A (cars / small vans),350
29/01/2022,Recycling centre A (medium / large vans),20
29/01/2022,Recycling centre A (pedestrian / bicycle),10
01/02/2022,Recycling centre A (cars / small vans),350
01/02/2022,Recycling centre A (medium / large vans),20
01/02/2022,Recycling centre A (pedestrian / bicycle),10
02/02/2022,Recycling centre A (cars / small vans),350
02/02/2022,Recycling centre A (medium / large vans),20
02/02/2022,Recycling centre A (pedestrian / bicycle),10
03/02/2022,Recycling centre A (cars / small vans),350
03/02/2022,Recycling centre A (medium / large vans),20
03/02/2022,Recycling centre A (pedestrian / bicycle),10
04/02/2022,Recycling centre A (cars / small vans),350
04/02/2022,Recycling centre A (medium / large vans),20
04/02/2022,Recycling centre A (pedestrian / bicycle),10
05/02/2022,Recycling centre A (cars / small vans),350
05/02/2022,Recycling centre A (medium / large vans),20
05/02/2022,Recycling centre A (pedestrian / bicycle),10
08/02/2022,Recycling centre A (cars / small vans),350
08/02/2022,Recycling centre A (medium / large vans),20
08/02/2022,Recycling centre A (pedestrian / bicycle),10
09/02/2022,Recycling centre A (cars / small vans),350
09/02/2022,Recycling centre A (medium / large vans),20
09/02/2022,Recycling centre A (pedestrian / bicycle),10
10/02/2022,Recycling centre A (cars / small vans),350
10/02/2022,Recycling centre A (medium / large vans),20
10/02/2022,Recycling centre A (pedestrian / bicycle),10
11/02/2022,Recycling centre A (cars / small vans),350
11/02/2022,Recycling centre A (medium / large vans),20
11/02/2022,Recycling centre A (pedestrian / bicycle),10
12/02/2022,Recycling centre A (cars / small vans),350
12/02/2022,Recycling centre A (medium / large vans),20
12/02/2022,Recycling centre A (pedestrian / bicycle),10
15/02/2022,Recycling centre A (cars / small vans),350
15/02/2022,Recycling centre A (medium / large vans),20
15/02/2022,Recycling centre A (pedestrian / bicycle),10
16/02/2022,Recycling centre A (cars / small vans),350
16/02/2022,Recycling centre A (medium / large vans),20
16/02/2022,Recycling centre A (pedestrian / bicycle),10
17/02/2022,Recycling centre A (cars / small vans),350
17/02/2022,Recycling centre A (medium / large vans),20
17/02/2022,Recycling centre A (pedestrian / bicycle),10
18/02/2022,Recycling centre A (cars / small vans),350
18/02/2022,Recycling centre A (medium / large vans),20
18/02/2022,Recycling centre A (pedestrian / bicycle),10
19/02/2022,Recycling centre A (cars / small vans),350
19/02/2022,Recycling centre A (medium / large vans),20
19/02/2022,Recycling centre A (pedestrian / bicycle),10
22/02/2022,Recycling centre A (cars / small vans),350
22/02/2022,Recycling centre A (medium / large vans),20
22/02/2022,Recycling centre A (pedestrian / bicycle),10
23/02/2022,Recycling centre A (cars / small vans),350
23/02/2022,Recycling centre A (medium / large vans),20
23/02/2022,Recycling centre A (pedestrian / bicycle),10
24/02/2022,Recycling centre A (cars / small vans),350
24/02/2022,Recycling centre A (medium / large vans),20
24/02/2022,Recycling centre A (pedestrian / bicycle),10
25/02/2022,Recycling centre A (cars / small vans),350
25/02/2022,Recycling centre A (medium / large vans),20
25/02/2022,Recycling centre A (pedestrian / bicycle),10
26/02/2022,Recycling centre A (cars / small vans),350
26/02/2022,Recycling centre A (medium / large vans),20
26/02/2022,Recycling centre A (pedestrian / bicycle),10
01/03/2022,Recycling centre A (cars / small vans),350
01/03/2022,Recycling centre A (medium / large vans),20
01/03/2022,Recycling centre A (pedestrian / bicycle),10
02/03/2022,Recycling centre A (cars / small vans),350
02/03/2022,Recycling centre A (medium / large vans),20
02/03/2022,Recycling centre A (pedestrian / bicycle),10
03/03/2022,Recycling centre A (cars / small vans),350
03/03/2022,Recycling centre A (medium / large vans),20
03/03/2022,Recycling centre A (pedestrian / bicycle),10
04/03/2022,Recycling centre A (cars / small vans),350
04/03/2022,Recycling centre A (medium / large vans),20
04/03/2022,Recycling centre A (pedestrian / bicycle),10
07/03/2022,Recycling centre A (cars / small vans),350
07/03/2022,Recycling centre A (medium / large vans),20
07/03/2022,Recycling centre A (pedestrian / bicycle),10
08/03/2022,Recycling centre A (cars / small vans),350
08/03/2022,Recycling centre A (medium / large vans),20
08/03/2022,Recycling centre A (pedestrian / bicycle),10
09/03/2022,Recycling centre A (cars / small vans),350
09/03/2022,Recycling centre A (medium / large vans),20
09/03/2022,Recycling centre A (pedestrian / bicycle),10
10/03/2022,Recycling centre A (cars / small vans),350
10/03/2022,Recycling centre A (medium / large vans),20
10/03/2022,Recycling centre A (pedestrian / bicycle),10
11/03/2022,Recycling centre A (cars / small vans),350
11/03/2022,Recycling centre A (medium / large vans),20
11/03/2022,Recycling centre A (pedestrian / bicycle),10
14/03/2022,Recycling centre A (cars / small vans),350
14/03/2022,Recycling centre A (medium / large vans),20
14/03/2022,Recycling centre A (pedestrian / bicycle),10
15/03/2022,Recycling centre A (cars / small vans),350
15/03/2022,Recycling centre A (medium / large vans),20
15/03/2022,Recycling centre A (pedestrian / bicycle),10
16/03/2022,Recycling centre A (cars / small vans),350
16/03/2022,Recycling centre A (medium / large vans),20
16/03/2022,Recycling centre A (pedestrian / bicycle),10
17/03/2022,Recycling centre A (cars / small vans),350
17/03/2022,Recycling centre A (medium / large vans),20
17/03/2022,Recycling centre A (pedestrian / bicycle),10
18/03/2022,Recycling centre A (cars / small vans),350
18/03/2022,Recycling centre A (medium / large vans),20
18/03/2022,Recycling centre A (pedestrian / bicycle),10
21/03/2022,Recycling centre A (cars / small vans),350
21/03/2022,Recycling centre A (medium / large vans),20
21/03/2022,Recycling centre A (pedestrian / bicycle),10
22/03/2022,Recycling centre A (cars / small vans),350
22/03/2022,Recycling centre A (medium / large vans),20
22/03/2022,Recycling centre A (pedestrian / bicycle),10
23/03/2022,Recycling centre A (cars / small vans),350
23/03/2022,Recycling centre A (medium / large vans),20
23/03/2022,Recycling centre A (pedestrian / bicycle),10
24/03/2022,Recycling centre A (cars / small vans),350
24/03/2022,Recycling centre A (medium / large vans),20
24/03/2022,Recycling centre A (pedestrian / bicycle),10
25/03/2022,Recycling centre A (cars / small vans),350
25/03/2022,Recycling centre A (medium / large vans),20
25/03/2022,Recycling centre A (pedestrian / bicycle),10
28/03/2022,Recycling centre A (cars / small vans),350
28/03/2022,Recycling centre A (medium / large vans),20
28/03/2022,Recycling centre A (pedestrian / bicycle),10
29/03/2022,Recycling centre A (cars / small vans),350
29/03/2022,Recycling centre A (medium / large vans),20
29/03/2022,Recycling centre A (pedestrian / bicycle),10
30/03/2022,Recycling centre A (cars / small vans),350
30/03/2022,Recycling centre A (medium / large vans),20
30/03/2022,Recycling centre A (pedestrian / bicycle),10
31/03/2022,Recycling centre A (cars / small vans),350
31/03/2022,Recycling centre A (medium / large vans),20
31/03/2022,Recycling centre A (pedestrian / bicycle),10
04/04/2021,Recycling centre A (cars / small vans),350
04/04/2021,Recycling centre A (medium / large vans),20
04/04/2021,Recycling centre A (pedestrian / bicycle),10
05/04/2021,Recycling centre A (cars / small vans),350
05/04/2021,Recycling centre A (medium / large vans),20
05/04/2021,Recycling centre A (pedestrian / bicycle),10
11/04/2021,Recycling centre A (cars / small vans),350
11/04/2021,Recycling centre A (medium / large vans),20
11/04/2021,Recycling centre A (pedestrian / bicycle),10
12/04/2021,Recycling centre A (cars / small vans),350
12/04/2021,Recycling centre A (medium / large vans),20
12/04/2021,Recycling centre A (pedestrian / bicycle),10
18/04/2021,Recycling centre A (cars / small vans),350
18/04/2021,Recycling centre A (medium / large vans),20
18/04/2021,Recycling centre A (pedestrian / bicycle),10
19/04/2021,Recycling centre A (cars / small vans),350
19/04/2021,Recycling centre A (medium / large vans),20
19/04/2021,Recycling centre A (pedestrian / bicycle),10
25/04/2021,Recycling centre A (cars / small vans),350
25/04/2021,Recycling centre A (medium / large vans),20
25/04/2021,Recycling centre A (pedestrian / bicycle),10
26/04/2021,Recycling centre A (cars / small vans),350
26/04/2021,Recycling centre A (medium / large vans),20
26/04/2021,Recycling centre A (pedestrian / bicycle),10
02/05/2021,Recycling centre A (cars / small vans),350
02/05/2021,Recycling centre A (medium / large vans),20
02/05/2021,Recycling centre A (pedestrian / bicycle),10
03/05/2021,Recycling centre A (cars / small vans),350
03/05/2021,Recycling centre A (medium / large vans),20
03/05/2021,Recycling centre A (pedestrian / bicycle),10
09/05/2021,Recycling centre A (cars / small vans),350
09/05/2021,Recycling centre A (medium / large vans),20
09/05/2021,Recycling centre A (pedestrian / bicycle),10
10/05/2021,Recycling centre A (cars / small vans),350
10/05/2021,Recycling centre A (medium / large vans),20
10/05/2021,Recycling centre A (pedestrian / bicycle),10
16/05/2021,Recycling centre A (cars / small vans),350
16/05/2021,Recycling centre A (medium / large vans),20
16/05/2021,Recycling centre A (pedestrian / bicycle),10
17/05/2021,Recycling centre A (cars / small vans),350
17/05/2021,Recycling centre A (medium / large vans),20
17/05/2021,Recycling centre A (pedestrian / bicycle),10
23/05/2021,Recycling centre A (cars / small vans),350
23/05/2021,Recycling centre A (medium / large vans),20
23/05/2021,Recycling centre A (pedestrian / bicycle),10
24/05/2021,Recycling centre A (cars / small vans),350
24/05/2021,Recycling centre A (medium / large vans),20
24/05/2021,Recycling centre A (pedestrian / bicycle),10
30/05/2021,Recycling centre A (cars / small vans),350
30/05/2021,Recycling centre A (medium / large vans),20
30/05/2021,Recycling centre A (pedestrian / bicycle),10
31/05/2021,Recycling centre A (cars / small vans),350
31/05/2021,Recycling centre A (medium / large vans),20
31/05/2021,Recycling centre A (pedestrian / bicycle),10
06/06/2021,Recycling centre A (cars / small vans),350
06/06/2021,Recycling centre A (medium / large vans),20
06/06/2021,Recycling centre A (pedestrian / bicycle),10
07/06/2021,Recycling centre A (cars / small vans),350
07/06/2021,Recycling centre A (medium / large vans),20
07/06/2021,Recycling centre A (pedestrian / bicycle),10
13/06/2021,Recycling centre A (cars / small vans),350
13/06/2021,Recycling centre A (medium / large vans),20
13/06/2021,Recycling centre A (pedestrian / bicycle),10
14/06/2021,Recycling centre A (cars / small vans),350
14/06/2021,Recycling centre A (medium / large vans),20
14/06/2021,Recycling centre A (pedestrian / bicycle),10
20/06/2021,Recycling centre A (cars / small vans),350
20/06/2021,Recycling centre A (medium / large vans),20
20/06/2021,Recycling centre A (pedestrian / bicycle),10
21/06/2021,Recycling centre A (cars / small vans),350
21/06/2021,Recycling centre A (medium / large vans),20
21/06/2021,Recycling centre A (pedestrian / bicycle),10
27/06/2021,Recycling centre A (cars / small vans),350
27/06/2021,Recycling centre A (medium / large vans),20
27/06/2021,Recycling centre A (pedestrian / bicycle),10
28/06/2021,Recycling centre A (cars / small vans),350
28/06/2021,Recycling centre A (medium / large vans),20
28/06/2021,Recycling centre A (pedestrian / bicycle),10
04/07/2021,Recycling centre A (cars / small vans),350
04/07/2021,Recycling centre A (medium / large vans),20
04/07/2021,Recycling centre A (pedestrian / bicycle),10
05/07/2021,Recycling centre A (cars / small vans),350
05/07/2021,Recycling centre A (medium / large vans),20
05/07/2021,Recycling centre A (pedestrian / bicycle),10
11/07/2021,Recycling centre A (cars / small vans),350
11/07/2021,Recycling centre A (medium / large vans),20
11/07/2021,Recycling centre A (pedestrian / bicycle),10
12/07/2021,Recycling centre A (cars / small vans),350
12/07/2021,Recycling centre A (medium / large vans),20
12/07/2021,Recycling centre A (pedestrian / bicycle),10
18/07/2021,Recycling centre A (cars / small vans),350
18/07/2021,Recycling centre A (medium / large vans),20
18/07/2021,Recycling centre A (pedestrian / bicycle),10
19/07/2021,Recycling centre A (cars / small vans),350
19/07/2021,Recycling centre A (medium / large vans),20
19/07/2021,Recycling centre A (pedestrian / bicycle),10
25/07/2021,Recycling centre A (cars / small vans),350
25/07/2021,Recycling centre A (medium / large vans),20
25/07/2021,Recycling centre A (pedestrian / bicycle),10
26/07/2021,Recycling centre A (cars / small vans),350
26/07/2021,Recycling centre A (medium / large vans),20
26/07/2021,Recycling centre A (pedestrian / bicycle),10
01/08/2021,Recycling centre A (cars / small vans),350
01/08/2021,Recycling centre A (medium / large vans),20
01/08/2021,Recycling centre A (pedestrian / bicycle),10
02/08/2021,Recycling centre A (cars / small vans),350
02/08/2021,Recycling centre A (medium / large vans),20
02/08/2021,Recycling centre A (pedestrian / bicycle),10
08/08/2021,Recycling centre A (cars / small vans),350
08/08/2021,Recycling centre A (medium / large vans),20
08/08/2021,Recycling centre A (pedestrian / bicycle),10
09/08/2021,Recycling centre A (cars / small vans),350
09/08/2021,Recycling centre A (medium / large vans),20
09/08/2021,Recycling centre A (pedestrian / bicycle),10
15/08/2021,Recycling centre A (cars / small vans),350
15/08/2021,Recycling centre A (medium / large vans),20
15/08/2021,Recycling centre A (pedestrian / bicycle),10
16/08/2021,Recycling centre A (cars / small vans),350
16/08/2021,Recycling centre A (medium / large vans),20
16/08/2021,Recycling centre A (pedestrian / bicycle),10
22/08/2021,Recycling centre A (cars / small vans),350
22/08/2021,Recycling centre A (medium / large vans),20
22/08/2021,Recycling centre A (pedestrian / bicycle),10
23/08/2021,Recycling centre A (cars / small vans),350
23/08/2021,Recycling centre A (medium / large vans),20
23/08/2021,Recycling centre A (pedestrian / bicycle),10
29/08/2021,Recycling centre A (cars / small vans),350
29/08/2021,Recycling centre A (medium / large vans),20
29/08/2021,Recycling centre A (pedestrian / bicycle),10
30/08/2021,Recycling centre A (cars / small vans),350
30/08/2021,Recycling centre A (medium / large vans),20
30/08/2021,Recycling centre A (pedestrian / bicycle),10
05/09/2021,Recycling centre A (cars / small vans),350
05/09/2021,Recycling centre A (medium / large vans),20
05/09/2021,Recycling centre A (pedestrian / bicycle),10
06/09/2021,Recycling centre A (cars / small vans),350
06/09/2021,Recycling centre A (medium / large vans),20
06/09/2021,Recycling centre A (pedestrian / bicycle),10
12/09/2021,Recycling centre A (cars / small vans),350
12/09/2021,Recycling centre A (medium / large vans),20
12/09/2021,Recycling centre A (pedestrian / bicycle),10
13/09/2021,Recycling centre A (cars / small vans),350
13/09/2021,Recycling centre A (medium / large vans),20
13/09/2021,Recycling centre A (pedestrian / bicycle),10
19/09/2021,Recycling centre A (cars / small vans),350
19/09/2021,Recycling centre A (medium / large vans),20
19/09/2021,Recycling centre A (pedestrian / bicycle),10
20/09/2021,Recycling centre A (cars / small vans),350
20/09/2021,Recycling centre A (medium / large vans),20
20/09/2021,Recycling centre A (pedestrian / bicycle),10
26/09/2021,Recycling centre A (cars / small vans),350
26/09/2021,Recycling centre A (medium / large vans),20
26/09/2021,Recycling centre A (pedestrian / bicycle),10
27/09/2021,Recycling centre A (cars / small vans),350
27/09/2021,Recycling centre A (medium / large vans),20
27/09/2021,Recycling centre A (pedestrian / bicycle),10
03/10/2021,Recycling centre A (cars / small vans),350
03/10/2021,Recycling centre A (medium / large vans),20
03/10/2021,Recycling centre A (pedestrian / bicycle),10
04/10/2021,Recycling centre A (cars / small vans),350
04/10/2021,Recycling centre A (medium / large vans),20
04/10/2021,Recycling centre A (pedestrian / bicycle),10
10/10/2021,Recycling centre A (cars / small vans),350
10/10/2021,Recycling centre A (medium / large vans),20
10/10/2021,Recycling centre A (pedestrian / bicycle),10
11/10/2021,Recycling centre A (cars / small vans),350
11/10/2021,Recycling centre A (medium / large vans),20
11/10/2021,Recycling centre A (pedestrian / bicycle),10
17/10/2021,Recycling centre A (cars / small vans),350
17/10/2021,Recycling centre A (medium / large vans),20
17/10/2021,Recycling centre A (pedestrian / bicycle),10
18/10/2021,Recycling centre A (cars / small vans),350
18/10/2021,Recycling centre A (medium / large vans),20
18/10/2021,Recycling centre A (pedestrian / bicycle),10
24/10/2021,Recycling centre A (cars / small vans),350
24/10/2021,Recycling centre A (medium / large vans),20
24/10/2021,Recycling centre A (pedestrian / bicycle),10
25/10/2021,Recycling centre A (cars / small vans),350
25/10/2021,Recycling centre A (medium / large vans),20
25/10/2021,Recycling centre A (pedestrian / bicycle),10
31/10/2021,Recycling centre A (cars / small vans),350
31/10/2021,Recycling centre A (medium / large vans),20
31/10/2021,Recycling centre A (pedestrian / bicycle),10
01/11/2021,Recycling centre A (cars / small vans),350
01/11/2021,Recycling centre A (medium / large vans),20
01/11/2021,Recycling centre A (pedestrian / bicycle),10
07/11/2021,Recycling centre A (cars / small vans),350
07/11/2021,Recycling centre A (medium / large vans),20
07/11/2021,Recycling centre A (pedestrian / bicycle),10
08/11/2021,Recycling centre A (cars / small vans),350
08/11/2021,Recycling centre A (medium / large vans),20
08/11/2021,Recycling centre A (pedestrian / bicycle),10
14/11/2021,Recycling centre A (cars / small vans),350
14/11/2021,Recycling centre A (medium / large vans),20
14/11/2021,Recycling centre A (pedestrian / bicycle),10
15/11/2021,Recycling centre A (cars / small vans),350
15/11/2021,Recycling centre A (medium / large vans),20
15/11/2021,Recycling centre A (pedestrian / bicycle),10
21/11/2021,Recycling centre A (cars / small vans),350
21/11/2021,Recycling centre A (medium / large vans),20
21/11/2021,Recycling centre A (pedestrian / bicycle),10
22/11/2021,Recycling centre A (cars / small vans),350
22/11/2021,Recycling centre A (medium / large vans),20
22/11/2021,Recycling centre A (pedestrian / bicycle),10
28/11/2021,Recycling centre A (cars / small vans),350
28/11/2021,Recycling centre A (medium / large vans),20
28/11/2021,Recycling centre A (pedestrian / bicycle),10
29/11/2021,Recycling centre A (cars / small vans),350
29/11/2021,Recycling centre A (medium / large vans),20
29/11/2021,Recycling centre A (pedestrian / bicycle),10
05/12/2021,Recycling centre A (cars / small vans),350
05/12/2021,Recycling centre A (medium / large vans),20
05/12/2021,Recycling centre A (pedestrian / bicycle),10
06/12/2021,Recycling centre A (cars / small vans),350
06/12/2021,Recycling centre A (medium / large vans),20
06/12/2021,Recycling centre A (pedestrian / bicycle),10
12/12/2021,Recycling centre A (cars / small vans),350
12/12/2021,Recycling centre A (medium / large vans),20
12/12/2021,Recycling centre A (pedestrian / bicycle),10
13/12/2021,Recycling centre A (cars / small vans),350
13/12/2021,Recycling centre A (medium / large vans),20
13/12/2021,Recycling centre A (pedestrian / bicycle),10
19/12/2021,Recycling centre A (cars / small vans),350
19/12/2021,Recycling centre A (medium / large vans),20
19/12/2021,Recycling centre A (pedestrian / bicycle),10
20/12/2021,Recycling centre A (cars / small vans),350
20/12/2021,Recycling centre A (medium / large vans),20
20/12/2021,Recycling centre A (pedestrian / bicycle),10
26/12/2021,Recycling centre A (cars / small vans),350
26/12/2021,Recycling centre A (medium / large vans),20
26/12/2021,Recycling centre A (pedestrian / bicycle),10
27/12/2021,Recycling centre A (cars / small vans),350
27/12/2021,Recycling centre A (medium / large vans),20
27/12/2021,Recycling centre A (pedestrian / bicycle),10
02/01/2022,Recycling centre A (cars / small vans),350
02/01/2022,Recycling centre A (medium / large vans),20
02/01/2022,Recycling centre A (pedestrian / bicycle),10
03/01/2022,Recycling centre A (cars / small vans),350
03/01/2022,Recycling centre A (medium / large vans),20
03/01/2022,Recycling centre A (pedestrian / bicycle),10
09/01/2022,Recycling centre A (cars / small vans),350
09/01/2022,Recycling centre A (medium / large vans),20
09/01/2022,Recycling centre A (pedestrian / bicycle),10
10/01/2022,Recycling centre A (cars / small vans),350
10/01/2022,Recycling centre A (medium / large vans),20
10/01/2022,Recycling centre A (pedestrian / bicycle),10
16/01/2022,Recycling centre A (cars / small vans),350
16/01/2022,Recycling centre A (medium / large vans),20
16/01/2022,Recycling centre A (pedestrian / bicycle),10
17/01/2022,Recycling centre A (cars / small vans),350
17/01/2022,Recycling centre A (medium / large vans),20
17/01/2022,Recycling centre A (pedestrian / bicycle),10
23/01/2022,Recycling centre A (cars / small vans),350
23/01/2022,Recycling centre A (medium / large vans),20
23/01/2022,Recycling centre A (pedestrian / bicycle),10
24/01/2022,Recycling centre A (cars / small vans),350
24/01/2022,Recycling centre A (medium / large vans),20
24/01/2022,Recycling centre A (pedestrian / bicycle),10
30/01/2022,Recycling centre A (cars / small vans),350
30/01/2022,Recycling centre A (medium / large vans),20
30/01/2022,Recycling centre A (pedestrian / bicycle),10
31/01/2022,Recycling centre A (cars / small vans),350
31/01/2022,Recycling centre A (medium / large vans),20
31/01/2022,Recycling centre A (pedestrian / bicycle),10
06/02/2022,Recycling centre A (cars / small vans),350
06/02/2022,Recycling centre A (medium / large vans),20
06/02/2022,Recycling centre A (pedestrian / bicycle),10
07/02/2022,Recycling centre A (cars / small vans),350
07/02/2022,Recycling centre A (medium / large vans),20
07/02/2022,Recycling centre A (pedestrian / bicycle),10
13/02/2022,Recycling centre A (cars / small vans),350
13/02/2022,Recycling centre A (medium / large vans),20
13/02/2022,Recycling centre A (pedestrian / bicycle),10
14/02/2022,Recycling centre A (cars / small vans),350
14/02/2022,Recycling centre A (medium / large vans),20
14/02/2022,Recycling centre A (pedestrian / bicycle),10
20/02/2022,Recycling centre A (cars / small vans),350
20/02/2022,Recycling centre A (medium / large vans),20
20/02/2022,Recycling centre A (pedestrian / bicycle),10
21/02/2022,Recycling centre A (cars / small vans),350
21/02/2022,Recycling centre A (medium / large vans),20
21/02/2022,Recycling centre A (pedestrian / bicycle),10
27/02/2022,Recycling centre A (cars / small vans),350
27/02/2022,Recycling centre A (medium / large vans),20
27/02/2022,Recycling centre A (pedestrian / bicycle),10
28/02/2022,Recycling centre A (cars / small vans),350
28/02/2022,Recycling centre A (medium / large vans),20
28/02/2022,Recycling centre A (pedestrian / bicycle),10
05/03/2022,Recycling centre A (cars / small vans),350
05/03/2022,Recycling centre A (medium / large vans),20
05/03/2022,Recycling centre A (pedestrian / bicycle),10
06/03/2022,Recycling centre A (cars / small vans),350
06/03/2022,Recycling centre A (medium / large vans),20
06/03/2022,Recycling centre A (pedestrian / bicycle),10
12/03/2022,Recycling centre A (cars / small vans),350
12/03/2022,Recycling centre A (medium / large vans),20
12/03/2022,Recycling centre A (pedestrian / bicycle),10
13/03/2022,Recycling centre A (cars / small vans),350
13/03/2022,Recycling centre A (medium / large vans),20
13/03/2022,Recycling centre A (pedestrian / bicycle),10
19/03/2022,Recycling centre A (cars / small vans),350
19/03/2022,Recycling centre A (medium / large vans),20
19/03/2022,Recycling centre A (pedestrian / bicycle),10
20/03/2022,Recycling centre A (cars / small vans),350
20/03/2022,Recycling centre A (medium / large vans),20
20/03/2022,Recycling centre A (pedestrian / bicycle),10
26/03/2022,Recycling centre A (cars / small vans),350
26/03/2022,Recycling centre A (medium / large vans),20
26/03/2022,Recycling centre A (pedestrian / bicycle),10
27/03/2022,Recycling centre A (cars / small vans),350
27/03/2022,Recycling centre A (medium / large vans),20
27/03/2022,Recycling centre A (pedestrian / bicycle),10
