Date,Vehicle type,Number of spaces
22/05/2021,Recycling centre A (medium / large vans),17
22/05/2021,Recycling centre A (pedestrian / bicycle),15
25/05/2021,Recycling centre A (cars / small vans),320
25/05/2021,Recycling centre A (medium / large vans),17
25/05/2021,Recycling centre A (pedestrian / bicycle),15
26/05/2021,Recycling centre A (cars / small vans),320
26/05/2021,Recycling centre A (medium / large vans),17
26/05/2021,Recycling centre A (pedestrian / bicycle),15
27/05/2021,Recycling centre A (cars / small vans),320
27/05/2021,Recycling centre A (medium / large vans),17
27/05/2021,Recycling centre A (pedestrian / bicycle),15
28/05/2021,Recycling centre A (cars / small vans),320
28/05/2021,Recycling centre A (medium / large vans),17
28/05/2021,Recycling centre A (pedestrian / bicycle),15
29/05/2021,Recycling centre A (cars / small vans),320
29/05/2021,Recycling centre A (medium / large vans),17
29/05/2021,Recycling centre A (pedestrian / bicycle),15
01/06/2021,Recycling centre A (cars / small vans),320
01/06/2021,Recycling centre A (medium / large vans),17
01/06/2021,Recycling centre A (pedestrian / bicycle),15
02/06/2021,Recycling centre A (cars / small vans),320
02/06/2021,Recycling centre A (medium / large vans),17
02/06/2021,Recycling centre A (pedestrian / bicycle),15
03/06/2021,Recycling centre A (cars / small vans),320
03/06/2021,Recycling centre A (medium / large vans),17
03/06/2021,Recycling centre A (pedestrian / bicycle),15
04/06/2021,Recycling centre A (cars / small vans),320
04/06/2021,Recycling centre A (medium / large vans),17
04/06/2021,Recycling centre A (pedestrian / bicycle),15
05/06/2021,Recycling centre A (cars / small vans),320
05/06/2021,Recycling centre A (medium / large vans),17
05/06/2021,Recycling centre A (pedestrian / bicycle),15
08/06/2021,Recycling centre A (cars / small vans),320
08/06/2021,Recycling centre A (medium / large vans),17
08/06/2021,Recycling centre A (pedestrian / bicycle),15
09/06/2021,Recycling centre A (cars / small vans),320
09/06/2021,Recycling centre A (medium / large vans),17
09/06/2021,Recycling centre A (pedestrian / bicycle),15
10/06/2021,Recycling centre A (cars / small vans),320
10/06/2021,Recycling centre A (medium / large vans),17
10/06/2021,Recycling centre A (pedestrian / bicycle),15
11/06/2021,Recycling centre A (cars / small vans),320
11/06/2021,Recycling centre A (medium / large vans),17
11/06/2021,Recycling centre A (pedestrian / bicycle),15
12/06/2021,Recycling centre A (cars / small vans),320
12/06/2021,Recycling centre A (medium / large vans),17
12/06/2021,Recycling centre A (pedestrian / bicycle),15
15/06/2021,Recycling centre A (cars / small vans),320
15/06/2021,Recycling centre A (medium / large vans),17
15/06/2021,Recycling centre A (pedestrian / bicycle),15
16/06/2021,Recycling centre A (cars / small vans),320
16/06/2021,Recycling centre A (medium / large vans),17
16/06/2021,Recycling centre A (pedestrian / bicycle),15
17/06/2021,Recycling centre A (cars / small vans),320
17/06/2021,Recycling centre A (medium / large vans),17
17/06/2021,Recycling centre A (pedestrian / bicycle),15
18/06/2021,Recycling centre A (cars / small vans),320
18/06/2021,Recycling centre A (medium / large vans),17
18/06/2021,Recycling centre A (pedestrian / bicycle),15
19/06/2021,Recycling centre A (cars / small vans),320
19/06/2021,Recycling centre A (medium / large vans),17
19/06/2021,Recycling centre A (pedestrian / bicycle),15
22/06/2021,Recycling centre A (cars / small vans),320
22/06/2021,Recycling centre A (medium / large vans),17
22/06/2021,Recycling centre A (pedestrian / bicycle),15
23/06/2021,Recycling centre A (cars / small vans),320
23/06/2021,Recycling centre A (medium / large vans),17
23/06/2021,Recycling centre A (pedestrian / bicycle),15
24/06/2021,Recycling centre A (cars / small vans),320
24/06/2021,Recycling centre A (medium / large vans),17
24/06/2021,Recycling centre A (pedestrian / bicycle),15
25/06/2021,Recycling centre A (cars / small vans),320
25/06/2021,Recycling centre A (medium / large vans),17
25/06/2021,Recycling centre A (pedestrian / bicycle),15
26/06/2021,Recycling centre A (cars / small vans),320
26/06/2021,Recycling centre A (medium / large vans),17
26/06/2021,Recycling centre A (pedestrian / bicycle),15
29/06/2021,Recycling centre A (cars / small vans),320
29/06/2021,Recycling centre A (medium / large vans),17
29/06/2021,Recycling centre A (pedestrian / bicycle),15
30/06/2021,Recycling centre A (cars / small vans),320
30/06/2021,Recycling centre A (medium / large vans),17
30/06/2021,Recycling centre A (pedestrian / bicycle),15
01/07/2021,Recycling centre A (cars / small vans),320
01/07/2021,Recycling centre A (medium / large vans),17
01/07/2021,Recycling centre A (pedestrian / bicycle),15
